"F4000T","UAA","NutsShare","res","x","y"
0,1600,0,5000,4365,3290
0,1800,0,5000,4030,3285
0,1100,0,5000,4035,3285
0,1800,0,5000,4080,3285
0,1600,0,5000,4085,3285
0,2100,0,5000,4090,3285
0,1400,0,5000,4095,3285
0,1000,0,5000,4100,3285
0,1600,0,5000,4105,3285
0,1000,0,5000,4110,3285
0,1600,0,5000,4115,3285
0,1000,0,5000,4120,3285
0,400,0,5000,4125,3285
0,1400,0,5000,4130,3285
0,900,0,5000,4135,3285
0,1400,0,5000,4140,3285
0,1300,0,5000,4145,3285
0,1200,0,5000,4150,3285
0,1600,0,5000,4155,3285
0,1800,0,5000,4160,3285
0,700,0,5000,4165,3285
0,1800,0,5000,4170,3285
0,1700,0,5000,4175,3285
0,1500,0,5000,4180,3285
0,1100,0,5000,4185,3285
0,1800,0,5000,4190,3285
0,2200,0,5000,4195,3285
0,1400,0,5000,4250,3285
0,1600,0,5000,4255,3285
0,1500,0,5000,4370,3285
0,2000,0,5000,4375,3285
0,800,0,5000,4015,3280
0,1300,0,5000,4030,3280
0,500,0,5000,4035,3280
0,1700,0,5000,4080,3280
0,2000,0,5000,4085,3280
0,2100,0,5000,4090,3280
0,1700,0,5000,4095,3280
0,2100,0,5000,4100,3280
0,1300,0,5000,4105,3280
0,2400,0,5000,4110,3280
0,900,0,5000,4115,3280
0,700,0,5000,4120,3280
0,1900,0,5000,4125,3280
0,1500,0,5000,4130,3280
0,1400,0,5000,4135,3280
0,1100,0,5000,4140,3280
0,1000,0,5000,4145,3280
0,1600,0,5000,4150,3280
0,1400,0,5000,4155,3280
0,1000,0,5000,4160,3280
0,900,0,5000,4165,3280
0,1500,0,5000,4170,3280
0,1100,0,5000,4175,3280
0,1900,0,5000,4180,3280
0,900,0,5000,4185,3280
0,2400,0,5000,4190,3280
0,1000,0,5000,4195,3280
0,1000,0,5000,4250,3280
0,300,0,5000,4255,3280
0,1800,0,5000,4375,3280
0,250,0,5000,3955,3275
0,2300,0,5000,4120,3275
0,500,0,5000,4125,3275
0,1800,0,5000,4130,3275
0,800,0,5000,4135,3275
0,1800,0,5000,4140,3275
0,1600,0,5000,4145,3275
0,2500,0,5000,4150,3275
0,2700,0,5000,4155,3275
0,1300,0,5000,4160,3275
0,1400,0,5000,4165,3275
0,2200,0,5000,4170,3275
0,2700,0,5000,4175,3275
0,700,0,5000,4180,3275
0,700,0,5000,4185,3275
0,2700,0,5000,4190,3275
0,3000,0,5000,4195,3275
0,400,0,5000,3955,3270
0,1700,0,5000,4120,3270
0,2500,0,5000,4125,3270
0,900,0,5000,4130,3270
0,600,0,5000,4135,3270
0,1700,0,5000,4140,3270
0,1300,0,5000,4145,3270
0,1300,0,5000,4150,3270
0,1800,0,5000,4155,3270
0,700,0,5000,4160,3270
0,1000,0,5000,4165,3270
0,1100,0,5000,4170,3270
0,1700,0,5000,4175,3270
0,2500,0,5000,4180,3270
0,1000,0,5000,4185,3270
0,1700,0,5000,4190,3270
0,1000,0,5000,4195,3270
0,1300,0,5000,4140,3265
0,1300,0,5000,4145,3265
0,1700,0,5000,4150,3265
0,2000,0,5000,4155,3265
0,1400,0,5000,4160,3265
0,1300,0,5000,4165,3265
0,1900,0,5000,4170,3265
0,500,0,5000,4175,3265
0,1800,0,5000,4180,3265
0,2300,0,5000,4185,3265
0,2100,0,5000,4370,3265
0,1600,0,5000,4375,3265
0,900,0,5000,4140,3260
0,2600,0,5000,4145,3260
0,1400,0,5000,4150,3260
0,1500,0,5000,4155,3260
0,1300,0,5000,4160,3260
0,2300,0,5000,4165,3260
0,3000,0,5000,4170,3260
0,1100,0,5000,4175,3260
0,700,0,5000,4180,3260
0,1400,0,5000,4185,3260
0,900,0,5000,4370,3260
0,1000,0,5000,4375,3260
0,1000,0,5000,3945,3255
0,1000,0,5000,3950,3255
0,500,0,5000,3955,3255
0,1400,0,5000,4120,3255
0,1500,0,5000,4125,3255
0,500,0,5000,4130,3255
0,1900,0,5000,4135,3255
0,1000,0,5000,4140,3255
0,1500,0,5000,4145,3255
0,2000,0,5000,4150,3255
0,1900,0,5000,4155,3255
0,1300,0,5000,4160,3255
0,1800,0,5000,4165,3255
0,2800,0,5000,4170,3255
0,1300,0,5000,4175,3255
0,1900,0,5000,4190,3255
0,1500,0,5000,4195,3255
0,1900,0,5000,4360,3255
0,400,0,5000,4365,3255
0,400,0,5000,3940,3250
0,1400,0,5000,3945,3250
0,1200,0,5000,3950,3250
0,1300,0,5000,3955,3250
0,1100,0,5000,4120,3250
0,2200,0,5000,4125,3250
0,500,0,5000,4130,3250
0,1600,0,5000,4135,3250
0,900,0,5000,4140,3250
0,1100,0,5000,4145,3250
0,1400,0,5000,4150,3250
0,2300,0,5000,4155,3250
0,2100,0,5000,4160,3250
0,1600,0,5000,4165,3250
0,1500,0,5000,4170,3250
0,1000,0,5000,4175,3250
0,1000,0,5000,4190,3250
0,1000,0,5000,4195,3250
0,1400,0,5000,4360,3250
0,1100,0,5000,4365,3250
0,300,0,5000,3940,3245
0,1000,0,5000,3945,3245
0,1100,0,5000,3950,3245
0,1300,0,5000,3955,3245
0,1700,0,5000,4120,3245
0,1300,0,5000,4125,3245
0,1400,0,5000,4130,3245
0,900,0,5000,4135,3245
0,900,0,5000,4140,3245
0,1400,0,5000,4145,3245
0,1400,0,5000,4150,3245
0,1700,0,5000,4155,3245
0,900,0,5000,4160,3245
0,1000,0,5000,4165,3245
0,2100,0,5000,4170,3245
0,1100,0,5000,4175,3245
0,900,0,5000,4180,3245
0,800,0,5000,4185,3245
0,1500,0,5000,4190,3245
0,1300,0,5000,4195,3245
0,140,0,5000,3940,3240
0,600,0,5000,3945,3240
0,2100,0,5000,3950,3240
0,1300,0,5000,3955,3240
0,1100,0,5000,4120,3240
0,800,0,5000,4125,3240
0,900,0,5000,4130,3240
0,2300,0,5000,4135,3240
0,2300,0,5000,4140,3240
0,1200,0,5000,4145,3240
0,1300,0,5000,4150,3240
0,1400,0,5000,4155,3240
0,1200,0,5000,4160,3240
0,900,0,5000,4165,3240
0,1000,0,5000,4170,3240
0,1200,0,5000,4175,3240
0,500,0,5000,4180,3240
0,210,0,5000,4185,3240
0,800,0,5000,4190,3240
0,1100,0,5000,4195,3240
0,200,0,5000,5260,3240
0,2000,0,5000,4080,3235
0,1300,0,5000,4085,3235
0,2000,0,5000,4090,3235
0,1300,0,5000,4095,3235
0,800,0,5000,4110,3235
0,1000,0,5000,4115,3235
0,800,0,5000,4240,3235
0,700,0,5000,4245,3235
0,500,0,5000,4250,3235
0,1000,0,5000,4255,3235
0,2400,0,5000,4300,3235
0,400,0,5000,4305,3235
0,1400,0,5000,4310,3235
0,1000,0,5000,4315,3235
0,2000,0,5000,4320,3235
0,2000,0,5000,4325,3235
0,1100,0,5000,4330,3235
0,2100,0,5000,4335,3235
0,1300,0,5000,4340,3235
0,1800,0,5000,4345,3235
0,2100,0,5000,4080,3230
0,1600,0,5000,4085,3230
0,1700,0,5000,4090,3230
0,1100,0,5000,4095,3230
0,1100,0,5000,4110,3230
0,1800,0,5000,4115,3230
0,600,0,5000,4240,3230
0,900,0,5000,4245,3230
0,1200,0,5000,4250,3230
0,800,0,5000,4255,3230
0,1400,0,5000,4300,3230
0,5000,0,5000,4305,3230
0,2000,0,5000,4310,3230
0,2200,0,5000,4315,3230
0,2800,0,5000,4320,3230
0,1500,0,5000,4325,3230
0,1700,0,5000,4330,3230
0,1800,0,5000,4335,3230
0,1800,0,5000,4340,3230
0,2400,0,5000,4345,3230
0,1500,0,5000,4080,3225
0,1400,0,5000,4085,3225
0,1500,0,5000,4090,3225
0,1700,0,5000,4095,3225
0,1000,0,5000,4100,3225
0,1400,0,5000,4105,3225
0,2200,0,5000,4110,3225
0,1900,0,5000,4115,3225
0,800,0,5000,4240,3225
0,1600,0,5000,4245,3225
0,1600,0,5000,4250,3225
0,1400,0,5000,4255,3225
0,500,0,5000,4260,3225
0,1700,0,5000,4265,3225
0,600,0,5000,4280,3225
0,1900,0,5000,4285,3225
0,2600,0,5000,4300,3225
0,1900,0,5000,4305,3225
0,2900,0,5000,4320,3225
0,2300,0,5000,4325,3225
0,1800,0,5000,4080,3220
0,1800,0,5000,4085,3220
0,1800,0,5000,4090,3220
0,2000,0,5000,4095,3220
0,2500,0,5000,4100,3220
0,900,0,5000,4105,3220
0,1300,0,5000,4110,3220
0,1200,0,5000,4115,3220
0,1500,0,5000,4240,3220
0,900,0,5000,4245,3220
0,1300,0,5000,4250,3220
0,2100,0,5000,4255,3220
0,300,0,5000,4260,3220
0,900,0,5000,4265,3220
0,1700,0,5000,4280,3220
0,1400,0,5000,4285,3220
0,1100,0,5000,4300,3220
0,1400,0,5000,4305,3220
0,1100,0,5000,4320,3220
0,1300,0,5000,4325,3220
0,1600,0,5000,4080,3215
0,1700,0,5000,4085,3215
0,2400,0,5000,4090,3215
0,1600,0,5000,4095,3215
0,1800,0,5000,4100,3215
0,1400,0,5000,4105,3215
0,1700,0,5000,4110,3215
0,700,0,5000,4115,3215
0,1300,0,5000,4240,3215
0,1400,0,5000,4245,3215
0,1000,0,5000,4250,3215
0,1400,0,5000,4255,3215
0,1000,0,5000,4260,3215
0,1500,0,5000,4265,3215
0,2500,0,5000,4290,3215
0,1700,0,5000,4295,3215
0,1900,0,5000,4300,3215
0,1000,0,5000,4305,3215
0,1400,0,5000,4340,3215
0,1400,0,5000,4345,3215
0,1700,0,5000,4080,3210
0,2100,0,5000,4085,3210
0,700,0,5000,4090,3210
0,1300,0,5000,4095,3210
0,1700,0,5000,4100,3210
0,1100,0,5000,4105,3210
0,1400,0,5000,4110,3210
0,1700,0,5000,4115,3210
0,1700,0,5000,4240,3210
0,1100,0,5000,4245,3210
0,1000,0,5000,4250,3210
0,2900,0,5000,4255,3210
0,1300,0,5000,4260,3210
0,900,0,5000,4265,3210
0,1100,0,5000,4290,3210
0,1300,0,5000,4295,3210
0,1100,0,5000,4300,3210
0,1300,0,5000,4305,3210
0,1400,0,5000,4340,3210
0,1100,0,5000,4345,3210
0,1900,0,5000,4080,3205
0,1400,0,5000,4085,3205
0,1200,0,5000,4090,3205
0,1400,0,5000,4095,3205
0,2000,0,5000,4100,3205
0,1500,0,5000,4105,3205
0,1300,0,5000,4110,3205
0,2000,0,5000,4115,3205
0,1300,0,5000,4240,3205
0,1600,0,5000,4245,3205
0,1900,0,5000,4320,3205
0,900,0,5000,4325,3205
20,1600,0.01,5000,5170,3205
10,1800,0.01,5000,5175,3205
0,1900,0,5000,4080,3200
0,1700,0,5000,4085,3200
0,1400,0,5000,4090,3200
0,1200,0,5000,4095,3200
0,1800,0,5000,4100,3200
0,1500,0,5000,4105,3200
0,1200,0,5000,4110,3200
0,1200,0,5000,4115,3200
0,1100,0,5000,4240,3200
0,1300,0,5000,4245,3200
0,1200,0,5000,4320,3200
0,1200,0,5000,4325,3200
10,1700,0.01,5000,5170,3200
10,1700,0.01,5000,5175,3200
0,1500,0,5000,4130,3195
0,1200,0,5000,4135,3195
0,2100,0,5000,4140,3195
0,1400,0,5000,4145,3195
0,1300,0,5000,4150,3195
0,900,0,5000,4155,3195
0,1100,0,5000,4200,3195
0,1100,0,5000,4205,3195
0,1000,0,5000,4210,3195
0,1300,0,5000,4215,3195
0,1000,0,5000,4220,3195
0,600,0,5000,4225,3195
0,600,0,5000,4280,3195
0,800,0,5000,4285,3195
0,1600,0,5000,4320,3195
0,1200,0,5000,4325,3195
0,1300,0,5000,4330,3195
0,900,0,5000,4130,3190
0,1900,0,5000,4135,3190
0,1500,0,5000,4140,3190
0,2200,0,5000,4145,3190
0,1700,0,5000,4150,3190
0,1000,0,5000,4155,3190
0,1200,0,5000,4200,3190
0,2300,0,5000,4205,3190
0,900,0,5000,4210,3190
0,2200,0,5000,4215,3190
0,1800,0,5000,4220,3190
0,600,0,5000,4225,3190
0,1000,0,5000,4280,3190
0,1200,0,5000,4285,3190
0,600,0,5000,4320,3190
0,1800,0,5000,4325,3190
0,1300,0,5000,4330,3190
0,800,0,5000,4120,3185
0,1100,0,5000,4125,3185
0,1100,0,5000,4140,3185
0,2100,0,5000,4145,3185
0,2000,0,5000,4150,3185
0,1500,0,5000,4155,3185
0,1600,0,5000,4200,3185
0,2700,0,5000,4205,3185
0,2100,0,5000,4210,3185
0,1800,0,5000,4215,3185
0,2000,0,5000,4220,3185
0,1700,0,5000,4225,3185
0,1200,0,5000,4300,3185
0,1100,0,5000,4305,3185
0,3000,0,5000,4310,3185
0,1000,0,5000,4315,3185
0,600,0,5000,4120,3180
0,400,0,5000,4125,3180
0,1900,0,5000,4140,3180
0,1200,0,5000,4145,3180
0,1500,0,5000,4150,3180
0,1200,0,5000,4155,3180
0,1100,0,5000,4200,3180
0,1400,0,5000,4205,3180
0,1200,0,5000,4210,3180
0,2200,0,5000,4215,3180
0,1400,0,5000,4220,3180
0,1600,0,5000,4225,3180
0,500,0,5000,4300,3180
0,500,0,5000,4305,3180
0,3000,0,5000,4310,3180
0,2800,0,5000,4315,3180
0,600,0,5000,4130,3175
0,1800,0,5000,4135,3175
0,1300,0,5000,4140,3175
0,1400,0,5000,4145,3175
0,1400,0,5000,4150,3175
0,1400,0,5000,4155,3175
0,1500,0,5000,4200,3175
0,800,0,5000,4205,3175
0,2500,0,5000,4210,3175
0,1300,0,5000,4215,3175
0,2100,0,5000,4220,3175
0,1100,0,5000,4225,3175
0,800,0,5000,4230,3175
0,600,0,5000,4235,3175
0,1800,0,5000,4310,3175
0,1000,0,5000,4315,3175
0,1400,0,5000,4330,3175
0,1200,0,5000,4335,3175
0,1000,0,5000,4130,3170
0,1100,0,5000,4135,3170
0,1000,0,5000,4140,3170
0,700,0,5000,4145,3170
0,900,0,5000,4150,3170
0,500,0,5000,4155,3170
0,1200,0,5000,4200,3170
0,1600,0,5000,4205,3170
0,1900,0,5000,4210,3170
0,2100,0,5000,4215,3170
0,1600,0,5000,4220,3170
0,1100,0,5000,4225,3170
0,1700,0,5000,4230,3170
0,700,0,5000,4235,3170
0,1800,0,5000,4310,3170
0,900,0,5000,4315,3170
0,700,0,5000,4330,3170
0,1700,0,5000,4335,3170
0,600,0,5000,4150,3165
0,900,0,5000,4155,3165
0,2000,0,5000,4200,3165
0,1900,0,5000,4205,3165
0,800,0,5000,4290,3165
0,1100,0,5000,4295,3165
0,1600,0,5000,4330,3165
0,2400,0,5000,4335,3165
0,1300,0,5000,4150,3160
0,800,0,5000,4155,3160
0,2000,0,5000,4200,3160
0,1700,0,5000,4205,3160
0,300,0,5000,4290,3160
0,700,0,5000,4295,3160
0,2200,0,5000,4330,3160
0,1600,0,5000,4335,3160
0,1100,0,5000,4080,3155
0,700,0,5000,4085,3155
0,2400,0,5000,4330,3155
0,2500,0,5000,4335,3155
0,800,0,5000,4080,3150
0,600,0,5000,4085,3150
0,1200,0,5000,4330,3150
0,1600,0,5000,4335,3150
0,1200,0,5000,3830,3145
0,1300,0,5000,3835,3145
80,1500,0.05,5000,5140,3145
20,1600,0.01,5000,5145,3145
0,1600,0,5000,3830,3140
0,1200,0,5000,3835,3140
50,1700,0.03,5000,5140,3140
60,1600,0.04,5000,5145,3140
0,1500,0,5000,3810,3135
0,1700,0,5000,3815,3135
0,1300,0,5000,3820,3135
0,1800,0,5000,3825,3135
0,1600,0,5000,3830,3135
0,1900,0,5000,3835,3135
0,700,0,5000,4080,3135
0,1100,0,5000,4085,3135
0,800,0,5000,4100,3135
0,1300,0,5000,4105,3135
20,1900,0.01,5000,5120,3135
10,1600,0.01,5000,5125,3135
20,2000,0.01,5000,5130,3135
30,2100,0.01,5000,5135,3135
0,1600,0,5000,3810,3130
0,2000,0,5000,3815,3130
0,2400,0,5000,3820,3130
0,1900,0,5000,3825,3130
0,1900,0,5000,3830,3130
0,1300,0,5000,3835,3130
0,1900,0,5000,4080,3130
0,800,0,5000,4085,3130
0,800,0,5000,4100,3130
0,1100,0,5000,4105,3130
40,3000,0.01,5000,5120,3130
40,1900,0.02,5000,5125,3130
30,2000,0.01,5000,5130,3130
10,2100,0,5000,5135,3130
0,2400,0,5000,3800,3125
0,2400,0,5000,3805,3125
0,1700,0,5000,3810,3125
0,1600,0,5000,3815,3125
0,2000,0,5000,3820,3125
0,2000,0,5000,3825,3125
0,1700,0,5000,3830,3125
0,1600,0,5000,3835,3125
0,1100,0,5000,4080,3125
0,900,0,5000,4085,3125
10,1200,0.01,5000,5110,3125
10,1300,0.01,5000,5115,3125
0,2400,0,5000,3800,3120
0,2300,0,5000,3805,3120
0,2600,0,5000,3810,3120
0,1600,0,5000,3815,3120
0,2400,0,5000,3820,3120
0,2000,0,5000,3825,3120
0,2200,0,5000,3830,3120
0,1400,0,5000,3835,3120
0,800,0,5000,4080,3120
0,1000,0,5000,4085,3120
0,1100,0,5000,5110,3120
10,2000,0,5000,5115,3120
0,1000,0,5000,4180,3115
0,700,0,5000,4185,3115
0,500,0,5000,4220,3115
0,1000,0,5000,4225,3115
0,1200,0,5000,4230,3115
0,800,0,5000,4235,3115
0,900,0,5000,4260,3115
0,1200,0,5000,4265,3115
0,1100,0,5000,4270,3115
0,2700,0,5000,4275,3115
0,2600,0,5000,4540,3115
0,4000,0,5000,4545,3115
0,900,0,5000,4640,3115
0,1300,0,5000,4645,3115
0,1400,0,5000,4660,3115
0,150,0,5000,4665,3115
0,1000,0,5000,4670,3115
0,1800,0,5000,4675,3115
0,500,0,5000,4180,3110
0,300,0,5000,4185,3110
0,1200,0,5000,4220,3110
0,800,0,5000,4225,3110
0,900,0,5000,4230,3110
0,800,0,5000,4235,3110
0,700,0,5000,4260,3110
0,1300,0,5000,4265,3110
0,1500,0,5000,4270,3110
0,2100,0,5000,4275,3110
0,500,0,5000,4540,3110
0,900,0,5000,4545,3110
0,1900,0,5000,4640,3110
0,1300,0,5000,4645,3110
0,3000,0,5000,4660,3110
0,1200,0,5000,4665,3110
0,3000,0,5000,4670,3110
0,1200,0,5000,4675,3110
0,700,0,5000,4160,3105
0,400,0,5000,4165,3105
0,600,0,5000,4170,3105
0,300,0,5000,4175,3105
0,600,0,5000,4200,3105
0,400,0,5000,4205,3105
0,600,0,5000,4210,3105
0,400,0,5000,4215,3105
0,2100,0,5000,4240,3105
0,1000,0,5000,4245,3105
0,600,0,5000,4260,3105
0,900,0,5000,4265,3105
0,1600,0,5000,4270,3105
0,1400,0,5000,4275,3105
0,1700,0,5000,4160,3100
0,800,0,5000,4165,3100
0,600,0,5000,4170,3100
0,500,0,5000,4175,3100
0,800,0,5000,4200,3100
0,900,0,5000,4205,3100
0,700,0,5000,4210,3100
0,500,0,5000,4215,3100
0,600,0,5000,4240,3100
0,1600,0,5000,4245,3100
0,1800,0,5000,4260,3100
0,1700,0,5000,4265,3100
0,900,0,5000,4270,3100
0,1700,0,5000,4275,3100
0,700,0,5000,4160,3095
0,700,0,5000,4165,3095
0,700,0,5000,4170,3095
0,500,0,5000,4175,3095
0,700,0,5000,4200,3095
0,400,0,5000,4205,3095
0,800,0,5000,4260,3095
0,2000,0,5000,4265,3095
0,500,0,5000,4160,3090
0,1000,0,5000,4165,3090
0,400,0,5000,4170,3090
0,800,0,5000,4175,3090
0,600,0,5000,4200,3090
0,400,0,5000,4205,3090
0,1000,0,5000,4260,3090
0,800,0,5000,4265,3090
0,400,0,5000,4160,3085
0,500,0,5000,4165,3085
0,210,0,5000,4220,3085
0,1300,0,5000,4225,3085
0,1300,0,5000,4230,3085
0,1300,0,5000,4235,3085
0,1600,0,5000,4240,3085
0,2500,0,5000,4245,3085
0,800,0,5000,4250,3085
0,1000,0,5000,4255,3085
0,1700,0,5000,4260,3085
0,2600,0,5000,4265,3085
0,1800,0,5000,4270,3085
0,700,0,5000,4275,3085
0,800,0,5000,4160,3080
0,500,0,5000,4165,3080
0,800,0,5000,4220,3080
0,900,0,5000,4225,3080
0,1200,0,5000,4230,3080
0,700,0,5000,4235,3080
0,800,0,5000,4240,3080
0,700,0,5000,4245,3080
0,1100,0,5000,4250,3080
0,1300,0,5000,4255,3080
0,700,0,5000,4260,3080
0,1100,0,5000,4265,3080
0,1400,0,5000,4270,3080
0,700,0,5000,4275,3080
0,400,0,5000,4160,3075
0,1200,0,5000,4165,3075
0,900,0,5000,4220,3075
0,1100,0,5000,4225,3075
0,400,0,5000,4230,3075
0,700,0,5000,4235,3075
0,1700,0,5000,4520,3075
0,700,0,5000,4525,3075
0,2100,0,5000,4550,3075
0,1200,0,5000,4555,3075
10,900,0.01,5000,5210,3075
0,1700,0,5000,5215,3075
0,500,0,5000,4160,3070
0,400,0,5000,4165,3070
0,1100,0,5000,4220,3070
0,1800,0,5000,4225,3070
0,800,0,5000,4230,3070
0,1200,0,5000,4235,3070
0,1000,0,5000,4520,3070
0,600,0,5000,4525,3070
0,1200,0,5000,4550,3070
0,1900,0,5000,4555,3070
10,1300,0.01,5000,5210,3070
0,2500,0,5000,5215,3070
0,400,0,5000,4170,3065
0,1000,0,5000,4175,3065
0,600,0,5000,4210,3065
0,500,0,5000,4215,3065
0,1000,0,5000,4230,3065
0,1500,0,5000,4235,3065
10,1400,0.01,5000,5190,3065
0,1100,0,5000,5195,3065
20,2300,0.01,5000,5200,3065
10,1800,0.01,5000,5205,3065
20,2000,0.01,5000,5210,3065
20,1800,0.01,5000,5215,3065
30,2000,0.01,5000,5220,3065
10,1500,0.01,5000,5225,3065
0,700,0,5000,4170,3060
0,800,0,5000,4175,3060
0,700,0,5000,4210,3060
0,1700,0,5000,4215,3060
0,1300,0,5000,4230,3060
0,1000,0,5000,4235,3060
20,1100,0.02,5000,5190,3060
10,3000,0,5000,5195,3060
40,2300,0.02,5000,5200,3060
40,2200,0.02,5000,5205,3060
10,1900,0.01,5000,5210,3060
20,1700,0.01,5000,5215,3060
10,1700,0.01,5000,5220,3060
0,1600,0,5000,5225,3060
0,1100,0,5000,4170,3055
0,1000,0,5000,4175,3055
0,1200,0,5000,4190,3055
0,700,0,5000,4195,3055
0,1900,0,5000,4530,3055
0,1700,0,5000,4535,3055
40,700,0.06,5000,5200,3055
60,1700,0.04,5000,5205,3055
40,1300,0.03,5000,5210,3055
20,1900,0.01,5000,5215,3055
10,1700,0.01,5000,5220,3055
0,2100,0,5000,5225,3055
0,1700,0,5000,5230,3055
10,1500,0.01,5000,5235,3055
NA,NA,NA,5000,5250,3055
0,800,0,5000,4170,3050
0,600,0,5000,4175,3050
0,1100,0,5000,4190,3050
0,400,0,5000,4195,3050
0,2200,0,5000,4530,3050
0,2300,0,5000,4535,3050
10,600,0.02,5000,5200,3050
40,700,0.06,5000,5205,3050
30,800,0.04,5000,5210,3050
10,1100,0.01,5000,5215,3050
20,2200,0.01,5000,5220,3050
10,1100,0.01,5000,5225,3050
20,1300,0.02,5000,5230,3050
10,2300,0,5000,5235,3050
0,600,0,5000,4170,3045
0,1000,0,5000,4175,3045
0,800,0,5000,4180,3045
0,1000,0,5000,4185,3045
0,900,0,5000,4190,3045
0,1100,0,5000,4195,3045
0,2200,0,5000,4220,3045
0,1400,0,5000,4225,3045
0,600,0,5000,4230,3045
0,500,0,5000,4235,3045
0,1400,0,5000,4320,3045
0,700,0,5000,4325,3045
10,1200,0.01,5000,5230,3045
10,1500,0.01,5000,5235,3045
0,1700,0,5000,3715,3040
0,600,0,5000,4170,3040
0,1000,0,5000,4175,3040
0,1200,0,5000,4180,3040
0,2100,0,5000,4185,3040
0,700,0,5000,4190,3040
0,900,0,5000,4195,3040
0,800,0,5000,4220,3040
0,1800,0,5000,4225,3040
0,2000,0,5000,4230,3040
0,1800,0,5000,4235,3040
0,1000,0,5000,4320,3040
0,500,0,5000,4325,3040
10,900,0.01,5000,5230,3040
10,1400,0.01,5000,5235,3040
0,1500,0,5000,3960,3035
0,1600,0,5000,3965,3035
0,1600,0,5000,3970,3035
0,1200,0,5000,3975,3035
0,1400,0,5000,3980,3035
0,2100,0,5000,3985,3035
0,1300,0,5000,4080,3035
0,1900,0,5000,4085,3035
0,1700,0,5000,3960,3030
0,2100,0,5000,3965,3030
0,1200,0,5000,3970,3030
0,2100,0,5000,3975,3030
0,800,0,5000,3980,3030
0,900,0,5000,3985,3030
0,1500,0,5000,4080,3030
0,700,0,5000,4085,3030
0,1700,0,5000,3970,3025
0,900,0,5000,3975,3025
0,600,0,5000,4030,3025
0,700,0,5000,4035,3025
0,600,0,5000,4100,3025
0,1300,0,5000,4105,3025
0,800,0,5000,4440,3025
0,1300,0,5000,4445,3025
0,1300,0,5000,4450,3025
0,2200,0,5000,4455,3025
0,700,0,5000,3970,3020
0,400,0,5000,3975,3020
0,900,0,5000,4030,3020
0,1600,0,5000,4035,3020
0,700,0,5000,4100,3020
0,800,0,5000,4105,3020
0,2000,0,5000,4440,3020
0,1600,0,5000,4445,3020
0,1200,0,5000,4450,3020
0,700,0,5000,4455,3020
0,900,0,5000,3500,3015
0,900,0,5000,3505,3015
0,400,0,5000,4020,3015
0,700,0,5000,4025,3015
0,800,0,5000,4030,3015
0,1900,0,5000,4035,3015
0,500,0,5000,4100,3015
0,400,0,5000,4105,3015
0,500,0,5000,4110,3015
0,900,0,5000,4115,3015
0,1300,0,5000,4440,3015
0,1800,0,5000,4445,3015
0,1300,0,5000,4450,3015
0,1600,0,5000,4455,3015
0,1200,0,5000,4460,3015
0,700,0,5000,4465,3015
0,1700,0,5000,3500,3010
0,2100,0,5000,3505,3010
0,500,0,5000,3510,3010
0,1600,0,5000,4020,3010
0,1000,0,5000,4025,3010
0,1100,0,5000,4030,3010
0,1100,0,5000,4035,3010
0,800,0,5000,4100,3010
0,1900,0,5000,4105,3010
0,400,0,5000,4110,3010
0,1400,0,5000,4115,3010
0,800,0,5000,4440,3010
0,1800,0,5000,4445,3010
0,2800,0,5000,4450,3010
0,1400,0,5000,4455,3010
0,600,0,5000,4460,3010
0,600,0,5000,4465,3010
0,1700,0,5000,3480,3005
0,500,0,5000,3485,3005
0,1300,0,5000,3490,3005
0,1300,0,5000,3495,3005
0,800,0,5000,3510,3005
0,2300,0,5000,3680,3005
0,1300,0,5000,3685,3005
0,2300,0,5000,3700,3005
0,2500,0,5000,3705,3005
0,1400,0,5000,3710,3005
0,900,0,5000,3715,3005
0,1300,0,5000,4010,3005
0,1300,0,5000,4015,3005
0,2100,0,5000,4020,3005
0,2800,0,5000,4025,3005
0,1400,0,5000,4030,3005
0,2200,0,5000,4035,3005
0,1200,0,5000,4110,3005
0,300,0,5000,4115,3005
0,1200,0,5000,4440,3005
0,1600,0,5000,4445,3005
0,900,0,5000,3480,3000
0,1000,0,5000,3485,3000
0,1300,0,5000,3490,3000
0,1700,0,5000,3495,3000
0,1800,0,5000,3680,3000
0,1200,0,5000,3685,3000
0,1700,0,5000,3700,3000
0,2100,0,5000,3705,3000
0,1500,0,5000,3710,3000
0,1600,0,5000,3715,3000
0,1100,0,5000,4010,3000
0,1200,0,5000,4015,3000
0,1200,0,5000,4020,3000
0,2600,0,5000,4025,3000
0,1500,0,5000,4030,3000
0,1800,0,5000,4035,3000
0,250,0,5000,4110,3000
0,90,0,5000,4115,3000
0,1100,0,5000,4440,3000
0,1600,0,5000,4445,3000
0,3000,0,5000,3760,2995
0,2400,0,5000,3765,2995
0,1300,0,5000,3770,2995
0,700,0,5000,3775,2995
0,1800,0,5000,3780,2995
0,1500,0,5000,3785,2995
0,2800,0,5000,3790,2995
0,2300,0,5000,3795,2995
0,700,0,5000,4460,2995
0,1600,0,5000,4465,2995
0,1700,0,5000,4470,2995
0,1100,0,5000,4475,2995
0,1400,0,5000,3760,2990
0,1800,0,5000,3765,2990
0,1300,0,5000,3770,2990
0,2100,0,5000,3775,2990
0,1800,0,5000,3780,2990
0,2400,0,5000,3785,2990
0,1500,0,5000,3790,2990
0,2700,0,5000,3795,2990
0,1000,0,5000,4460,2990
