"UAAXK0000_ORG","UAA","res","x","y"
NA,NA,10000,4710,1430
30,3000,20000,4700,1440
NA,NA,20000,4720,1440
20,5000,20000,4720,1420
NA,NA,1000,6473,1686
0,70,5000,6405,1660
0,100,5000,6450,1625
NA,NA,5000,6440,1615
10,600,5000,6360,1605
20,500,5000,6365,1605
NA,NA,5000,6360,1600
20,600,5000,6365,1600
0,20,5000,6365,1595
NA,NA,5000,6415,1595
120,1900,10000,6410,1660
80,4000,10000,6420,1650
50,5000,10000,6430,1650
30,1000,10000,6420,1640
100,1500,10000,6430,1640
10,700,10000,6420,1630
110,800,10000,6430,1630
110,3000,10000,6440,1630
60,5000,10000,6450,1630
NA,NA,10000,6460,1630
20,500,10000,6420,1620
40,1000,10000,6430,1620
70,2200,10000,6440,1620
150,3000,10000,6360,1610
160,3000,10000,6370,1610
30,1100,10000,6380,1610
60,1900,10000,6390,1610
40,900,10000,6400,1610
170,1300,10000,6410,1610
30,2600,10000,6370,1600
140,1700,10000,6380,1600
100,2400,10000,6390,1600
110,1000,10000,6400,1600
20,2500,10000,6410,1600
30,1400,10000,6370,1590
130,7000,20000,6420,1660
30,11000,20000,6480,1660
0,110,20000,6500,1660
500,10000,20000,6400,1640
400,6000,20000,6360,1620
20,1200,20000,6380,1620
110,3000,20000,6400,1620
20,1000,20000,6420,1600
120,1000,20000,6380,1580
30,1200,40000,6360,1640
2100,40000,40000,6440,1640
160,5000,40000,6320,1600
NA,NA,1000,2999,3553
0,900,5000,3030,3640
0,1200,5000,3035,3640
0,120,10000,3140,3690
0,600,10000,3150,3690
0,1300,10000,3150,3680
NA,NA,10000,3120,3350
1000,26000,20000,3120,3580
1400,18000,20000,3140,3580
NA,NA,20000,2980,3560
2000,27000,20000,3120,3560
1600,40000,20000,3140,3560
1300,30000,20000,3120,3540
1100,21000,20000,3140,3540
270,28000,20000,3160,3540
400,26000,20000,3180,3540
800,30000,20000,3120,3520
600,23000,20000,3140,3520
700,29000,20000,3160,3520
600,27000,20000,3180,3520
1100,40000,20000,3080,3420
600,28000,20000,3100,3420
600,40000,20000,3080,3400
700,27000,20000,3100,3400
NA,NA,20000,2940,3340
NA,NA,20000,3200,3340
NA,NA,40000,3160,3680
1500,130000,40000,3200,3680
NA,NA,40000,3240,3680
0,1400,40000,3040,3640
NA,NA,40000,3120,3640
500,80000,40000,3160,3640
NA,NA,40000,3200,3640
NA,NA,40000,3000,3600
NA,NA,40000,3040,3600
NA,NA,40000,3080,3600
1200,70000,40000,3120,3600
1100,15000,40000,3160,3600
NA,NA,40000,3200,3600
3000,28000,40000,3000,3560
600,80000,40000,3040,3560
900,110000,40000,3080,3560
2700,80000,40000,3160,3560
1200,110000,40000,3200,3560
NA,NA,40000,3240,3560
NA,NA,40000,3000,3520
800,80000,40000,3040,3520
1500,170000,40000,3080,3520
1100,140000,40000,3200,3520
NA,NA,40000,3240,3520
NA,NA,40000,3000,3480
1400,80000,40000,3040,3480
1200,1e+05,40000,3080,3480
2400,1e+05,40000,3120,3480
2400,110000,40000,3160,3480
1000,110000,40000,3200,3480
NA,NA,40000,3240,3480
0,6000,40000,2960,3440
400,70000,40000,3000,3440
1200,90000,40000,3040,3440
1100,90000,40000,3080,3440
2500,120000,40000,3120,3440
2000,110000,40000,3160,3440
1600,90000,40000,3200,3440
NA,NA,40000,3240,3440
NA,NA,40000,2920,3400
1500,60000,40000,2960,3400
600,160000,40000,3000,3400
1900,130000,40000,3040,3400
1700,130000,40000,3120,3400
1100,120000,40000,3160,3400
800,140000,40000,3200,3400
NA,NA,40000,3240,3400
NA,NA,40000,2920,3360
3000,80000,40000,2960,3360
3000,1e+05,40000,3000,3360
600,120000,40000,3040,3360
1000,110000,40000,3080,3360
800,110000,40000,3120,3360
900,110000,40000,3160,3360
500,60000,40000,3200,3360
1700,40000,40000,2960,3320
1600,110000,40000,3000,3320
NA,NA,40000,3040,3320
NA,NA,40000,3080,3320
0,600,40000,3160,3320
NA,NA,1000,2881,5127
NA,NA,1000,3143,4950
NA,NA,1000,3240,4901
NA,NA,5000,2785,4920
NA,NA,5000,3035,4790
0,130000,10000,3100,4990
NA,NA,10000,3030,4950
NA,NA,10000,3110,4800
NA,NA,10000,3040,4780
NA,NA,20000,2820,5060
NA,NA,20000,3040,5040
0,40000,20000,2840,4980
0,40000,20000,2860,4980
0,150000,20000,3080,4980
NA,NA,20000,3140,4980
NA,NA,20000,3180,4980
0,70000,20000,2840,4960
0,140000,20000,2860,4960
0,30000,20000,3080,4960
0,3e+05,20000,3100,4960
0,210000,20000,2840,4860
0,250000,20000,2860,4860
0,80000,20000,2840,4840
0,6e+05,20000,2860,4840
0,90000,20000,2880,4820
NA,NA,20000,3200,4820
0,29000,20000,2880,4800
NA,NA,20000,2940,4800
0,140000,40000,2840,5120
0,80000,40000,2800,5080
0,1e+05,40000,2840,5080
NA,NA,40000,2880,5080
NA,NA,40000,2920,5080
0,110000,40000,2840,5040
0,270000,40000,2880,5040
NA,NA,40000,2920,5040
0,170000,40000,2960,5040
0,1e+05,40000,3000,5040
NA,NA,40000,2760,5000
0,110000,40000,2800,5000
0,240000,40000,2840,5000
0,4e+05,40000,2880,5000
0,1700000,40000,2920,5000
0,2200000,40000,2960,5000
0,5e+05,40000,3000,5000
0,3e+05,40000,3040,5000
0,110000,40000,3080,5000
0,6e+05,40000,3120,5000
NA,NA,40000,3160,5000
0,60000,40000,2800,4960
0,120000,40000,2880,4960
0,4e+05,40000,2920,4960
0,250000,40000,2960,4960
0,4e+05,40000,3000,4960
0,4e+05,40000,3040,4960
NA,NA,40000,3200,4960
0,130000,40000,2800,4920
0,8e+05,40000,2840,4920
0,110000,40000,2880,4920
NA,NA,40000,3040,4920
0,130000,40000,3080,4920
0,190000,40000,3160,4920
0,80000,40000,3200,4920
NA,NA,40000,2760,4880
0,50000,40000,2800,4880
0,80000,40000,2840,4880
0,4e+05,40000,2880,4880
NA,NA,40000,3120,4880
0,140000,40000,3160,4880
0,240000,40000,3200,4880
NA,NA,40000,2800,4840
0,1200000,40000,2880,4840
NA,NA,40000,3120,4840
0,4e+05,40000,3160,4840
0,70000,40000,3200,4840
0,110000,40000,2840,4800
NA,NA,40000,2960,4800
NA,NA,40000,3120,4800
0,80000,40000,3160,4800
0,60000,40000,2880,4760
0,7e+05,40000,2920,4760
0,240000,40000,2960,4760
0,40000,40000,3080,4760
0,50000,40000,3120,4760
0,3000,1000,-2606,984
0,30,1000,-2601,980
0,150,1000,-2706,974
0,30,1000,-2721,920
0,70,1000,-2723,914
0,20,1000,-2723,913
0,600,1000,-2723,912
0,70,1000,-2727,905
NA,NA,1000,-2602,873
0,300,1000,-2726,852
0,10,1000,-2722,821
0,90,1000,-2721,821
0,20,1000,-2721,820
0,700,1000,-2721,819
0,30,1000,-2726,800
NA,NA,1000,-2651,746
NA,NA,1000,-2512,731
0,30,1000,-2505,686
NA,NA,1000,-2527,651
0,60,1000,-2637,628
0,50,1000,-2593,627
0,80,5000,-2645,1000
0,130,5000,-2605,985
0,30,5000,-2725,915
0,20,5000,-2725,845
0,70,5000,-2720,820
0,20,5000,-2520,800
NA,NA,10000,-2610,2630
0,60,10000,-2690,990
0,130,10000,-2640,990
0,230,10000,-2630,990
0,2700,10000,-2620,990
0,500,10000,-2610,990
0,900,10000,-2520,650
30,1600,10000,9980,-3070
80,2800,10000,9990,-3070
30,1900,10000,9980,-3080
40,1300,10000,9990,-3080
NA,NA,20000,-2620,2720
250,8000,20000,-2600,2700
80,7000,20000,-2600,2680
140,7000,20000,-2680,2500
NA,NA,20000,-2660,2500
90,6000,20000,-2680,2480
NA,NA,20000,-2680,2460
0,70,20000,-2680,1000
0,230,20000,-2600,960
0,80,20000,-2720,940
0,160,20000,-2520,780
NA,NA,20000,-2540,720
NA,NA,20000,8700,-2780
110,2700,20000,9960,-3060
130,5000,20000,9980,-3060
80,6000,20000,9960,-3080
260,9000,40000,-2640,2680
NA,NA,40000,-2640,2640
NA,NA,40000,-2600,2640
150,6000,40000,-2680,2520
NA,NA,40000,-2720,2480
NA,NA,40000,-2640,1000
0,2600,40000,-2680,960
NA,NA,40000,-2600,920
NA,NA,40000,-2560,880
NA,NA,40000,-2560,840
130,10000,40000,-2560,800
NA,NA,40000,-2560,760
60,5000,40000,8720,-2800
40,4000,40000,9960,-3040
210,9000,40000,10000,-3040
NA,NA,40000,9920,-3080
250,4000,40000,10000,-3080
NA,NA,1000,5018,5400
NA,NA,1000,4952,5385
NA,NA,1000,4832,5368
NA,NA,1000,4952,5350
NA,NA,1000,4867,5333
NA,NA,1000,4858,5312
NA,NA,1000,5073,5282
NA,NA,1000,4966,5262
NA,NA,1000,4881,5196
NA,NA,1000,5058,5178
NA,NA,1000,4858,5169
NA,NA,1000,4980,5136
NA,NA,1000,4760,5122
NA,NA,1000,4798,5096
NA,NA,1000,4841,5080
NA,NA,1000,5066,5063
NA,NA,1000,4757,4993
NA,NA,1000,4412,4934
NA,NA,1000,4650,4818
NA,NA,1000,5259,4762
NA,NA,1000,4881,4758
NA,NA,1000,4629,4743
NA,NA,1000,4584,4666
NA,NA,1000,4519,4521
NA,NA,1000,4803,4518
NA,NA,1000,5362,4439
NA,NA,1000,4619,4311
NA,NA,1000,5078,4094
0,0,1000,5016,4040
NA,NA,1000,5054,3959
NA,NA,1000,4398,3918
NA,NA,1000,4997,3802
NA,NA,1000,4219,3760
0,120,1000,5189,3506
NA,NA,1000,4560,3480
NA,NA,1000,4183,3454
NA,NA,1000,4743,3441
NA,NA,1000,3992,3365
NA,NA,1000,5220,3338
0,280,1000,5285,3200
0,160,1000,5260,3075
NA,NA,1000,4321,3036
NA,NA,1000,4560,2775
NA,NA,1000,4565,2733
NA,NA,1000,4420,2719
NA,NA,1000,4560,2715
NA,NA,1000,4605,2703
0,400,1000,4105,2685
NA,NA,1000,4622,2685
NA,NA,1000,5720,2685
0,500,1000,4250,2678
0,220,1000,4252,2670
160,160,1000,4254,2670
NA,NA,1000,4473,2669
NA,NA,1000,4623,2669
NA,NA,1000,4654,2668
NA,NA,1000,4587,2666
0,300,1000,4269,2664
0,80,1000,4269,2663
0,40,1000,4189,2658
0,1500,1000,4185,2657
0,290,1000,4278,2644
NA,NA,1000,4185,2639
0,110,1000,4143,2628
300,300,1000,4146,2627
290,290,1000,4157,2626
0,400,1000,4157,2625
0,240,1000,4158,2625
0,500,1000,4181,2625
0,400,1000,4193,2625
0,300,1000,4147,2624
0,400,1000,4183,2623
0,800,1000,4185,2622
190,190,1000,4153,2621
0,0,1000,4123,2618
0,140,1000,4134,2618
NA,NA,1000,4547,2618
0,400,1000,4123,2617
0,180,1000,4135,2617
0,220,1000,4134,2616
NA,NA,1000,4112,2615
230,230,1000,4119,2615
0,70,1000,4167,2615
0,280,1000,4170,2615
0,500,1000,4172,2615
0,400,1000,4118,2614
0,200,1000,4119,2614
0,210,1000,4133,2614
0,160,1000,4170,2614
250,250,1000,4119,2613
400,400,1000,4168,2613
0,270,1000,4169,2613
NA,NA,1000,4735,2613
0,500,1000,4139,2611
400,400,1000,4128,2610
0,190,1000,4139,2610
500,500,1000,4160,2610
1200,1200,1000,4120,2609
0,170,1000,4120,2607
0,600,1000,4159,2607
0,170,1000,4120,2606
400,400,1000,4159,2606
600,600,1000,4272,2606
400,400,1000,4116,2605
0,500,1000,4119,2604
0,100,1000,4142,2604
0,600,1000,4113,2603
600,600,1000,4120,2603
0,500,1000,4134,2603
0,400,1000,4110,2601
0,140,1000,4112,2601
0,800,1000,4112,2600
0,280,1000,4133,2600
0,500,1000,4135,2600
NA,NA,1000,4414,2599
NA,NA,1000,4218,2592
NA,NA,1000,4200,2585
NA,NA,1000,5801,2559
0,2000,1000,4363,2544
NA,NA,1000,4971,2508
300,2000,1000,4976,2508
900,3000,1000,4979,2503
170,1400,1000,4974,2501
0,800,1000,4995,2495
0,400,1000,4997,2493
30,4000,1000,4993,2485
NA,NA,1000,3434,2468
NA,NA,1000,4619,2436
NA,NA,1000,4659,2402
NA,NA,1000,3300,2340
NA,NA,1000,4749,2316
0,60,1000,4922,2265
NA,NA,1000,4313,2258
NA,NA,1000,3962,2239
NA,NA,1000,4790,2231
NA,NA,1000,3620,2219
NA,NA,1000,3750,2215
NA,NA,1000,4640,2210
NA,NA,1000,4879,2209
0,10,1000,4999,2199
0,40,1000,5005,2199
0,30,1000,5011,2199
0,50,1000,5006,2198
0,60,1000,5013,2198
0,40,1000,5008,2197
0,20,1000,5010,2197
0,30,1000,5011,2196
0,20,1000,5005,2195
0,60,1000,5014,2195
0,20,1000,5007,2194
0,140,1000,5009,2194
NA,NA,1000,3650,2192
0,10,1000,5017,2190
0,20,1000,5015,2189
0,20,1000,5020,2186
NA,NA,1000,4660,2170
NA,NA,1000,4471,2168
NA,NA,1000,4670,2160
NA,NA,1000,5685,2152
NA,NA,1000,4420,2149
2300,4000,1000,4421,2149
NA,NA,1000,4422,2149
NA,NA,1000,4423,2149
NA,NA,1000,4424,2149
NA,NA,1000,4420,2148
NA,NA,1000,4421,2148
NA,NA,1000,5650,2146
NA,NA,1000,5690,2140
NA,NA,1000,4549,2139
NA,NA,1000,4488,2125
0,0,1000,5399,2116
NA,NA,1000,5389,2111
NA,NA,1000,4809,2110
NA,NA,1000,4818,2104
NA,NA,1000,4799,2092
NA,NA,1000,4825,2092
NA,NA,1000,4765,2088
NA,NA,1000,4773,2088
NA,NA,1000,2719,2083
NA,NA,1000,5520,2079
NA,NA,1000,4736,2074
NA,NA,1000,4757,2072
NA,NA,1000,4767,2065
400,5000,1000,4750,2063
NA,NA,1000,4756,2062
NA,NA,1000,4801,2038
NA,NA,1000,4800,2037
NA,NA,1000,4802,2037
600,5000,1000,4802,2035
400,1300,1000,4803,2035
NA,NA,1000,4810,2034
NA,NA,1000,4819,2032
NA,NA,1000,4870,2029
NA,NA,1000,4872,2029
NA,NA,1000,4873,2029
NA,NA,1000,4872,2028
NA,NA,1000,4873,2028
NA,NA,1000,4887,2028
600,2400,1000,4871,2027
900,4000,1000,4872,2027
0,90,1000,4873,2027
0,130,1000,4885,2027
NA,NA,1000,4886,2027
NA,NA,1000,4870,2026
170,500,1000,4871,2026
230,1000,1000,4872,2026
NA,NA,1000,4873,2026
NA,NA,1000,4874,2026
200,1000,1000,4885,2026
NA,NA,1000,4886,2026
NA,NA,1000,4870,2025
NA,NA,1000,4873,2025
NA,NA,1000,4874,2025
270,800,1000,4885,2025
NA,NA,1000,4885,2024
NA,NA,1000,4889,2022
NA,NA,1000,4885,2021
NA,NA,1000,4886,2021
NA,NA,1000,4887,2021
500,1600,1000,4885,2020
500,1700,1000,4886,2020
NA,NA,1000,4895,2014
NA,NA,1000,4894,2008
NA,NA,1000,4835,1999
NA,NA,1000,4839,1990
NA,NA,1000,4907,1978
NA,NA,1000,4908,1977
NA,NA,1000,4906,1976
NA,NA,1000,4908,1976
0,110,1000,4908,1975
2700,7000,1000,4909,1975
NA,NA,1000,4750,1974
NA,NA,1000,4934,1961
NA,NA,1000,4765,1954
2800,4000,1000,4852,1954
NA,NA,1000,4853,1954
NA,NA,1000,4852,1953
270,400,1000,4853,1953
NA,NA,1000,4934,1953
NA,NA,1000,4851,1950
NA,NA,1000,4823,1948
NA,NA,1000,4837,1946
NA,NA,1000,5740,1945
NA,NA,1000,4826,1941
NA,NA,1000,4179,1939
NA,NA,1000,5715,1939
NA,NA,1000,4858,1938
NA,NA,1000,5554,1922
NA,NA,1000,5745,1919
NA,NA,1000,4890,1918
NA,NA,1000,5009,1909
NA,NA,1000,5026,1909
NA,NA,1000,5027,1908
NA,NA,1000,5028,1908
NA,NA,1000,5027,1907
20,60,1000,5028,1907
NA,NA,1000,5029,1907
NA,NA,1000,5027,1906
30,240,1000,5028,1906
70,400,1000,5029,1906
700,1900,1000,5029,1905
NA,NA,1000,5025,1900
NA,NA,1000,4880,1884
NA,NA,1000,4905,1853
NA,NA,1000,4920,1851
160,250,1000,4920,1850
500,1000,1000,4921,1850
NA,NA,1000,4922,1850
NA,NA,1000,4915,1849
NA,NA,1000,4915,1844
1900,2400,1000,4916,1844
NA,NA,1000,4923,1844
800,1400,1000,4910,1840
1000,1500,1000,4911,1840
NA,NA,1000,4905,1839
NA,NA,1000,4910,1821
NA,NA,1000,3451,1810
NA,NA,1000,5660,1810
NA,NA,1000,4903,1807
300,600,1000,4940,1806
NA,NA,1000,4941,1806
1900,5000,1000,4940,1805
NA,NA,1000,4941,1805
NA,NA,1000,3559,1798
NA,NA,1000,4915,1798
600,1000,1000,4915,1797
NA,NA,1000,4904,1796
NA,NA,1000,4916,1792
NA,NA,1000,4900,1774
NA,NA,1000,5780,1771
NA,NA,1000,4778,1761
NA,NA,1000,4859,1760
NA,NA,1000,2639,1758
NA,NA,1000,2641,1758
NA,NA,1000,4843,1746
NA,NA,1000,4857,1742
NA,NA,1000,4703,1727
800,1300,1000,4855,1718
NA,NA,1000,4856,1718
500,800,1000,4855,1717
NA,NA,1000,4856,1717
NA,NA,1000,4846,1704
NA,NA,1000,5259,1703
0,10,1000,4810,1694
NA,NA,1000,4819,1684
0,0,1000,5952,1680
NA,NA,1000,4837,1674
NA,NA,1000,4708,1671
NA,NA,1000,4704,1670
800,1500,1000,4705,1670
NA,NA,1000,4706,1670
NA,NA,1000,4714,1669
NA,NA,1000,4728,1667
NA,NA,1000,4741,1666
NA,NA,1000,4595,1664
NA,NA,1000,4575,1659
NA,NA,1000,4790,1659
NA,NA,1000,4504,1656
NA,NA,1000,4721,1656
NA,NA,1000,4734,1655
NA,NA,1000,4702,1654
NA,NA,1000,4675,1648
2300,6000,1000,4720,1648
NA,NA,1000,4663,1647
NA,NA,1000,4704,1647
1300,4000,1000,4662,1646
700,1700,1000,4675,1646
1000,3000,1000,4676,1646
NA,NA,1000,4772,1646
NA,NA,1000,4678,1645
NA,NA,1000,4679,1645
NA,NA,1000,5302,1645
0,400,1000,4678,1644
0,220,1000,4679,1644
NA,NA,1000,4727,1644
0,0,1000,4588,1643
NA,NA,1000,4677,1643
500,2700,1000,4679,1643
NA,NA,1000,4651,1642
NA,NA,1000,5562,1642
900,3000,1000,4650,1641
NA,NA,1000,4651,1641
NA,NA,1000,4650,1640
NA,NA,1000,4651,1640
NA,NA,1000,4652,1640
NA,NA,1000,4649,1637
NA,NA,1000,4625,1635
NA,NA,1000,4539,1634
NA,NA,1000,4624,1633
NA,NA,1000,4644,1633
NA,NA,1000,4645,1633
NA,NA,1000,4643,1632
1000,5000,1000,4641,1630
0,80,1000,4555,1629
NA,NA,1000,4638,1627
NA,NA,1000,4631,1625
NA,NA,1000,4559,1624
1200,3000,1000,4597,1624
NA,NA,1000,4598,1624
NA,NA,1000,4609,1624
NA,NA,1000,4595,1623
NA,NA,1000,4622,1620
NA,NA,1000,2999,1619
NA,NA,1000,4718,1617
NA,NA,1000,4710,1615
NA,NA,1000,4584,1614
NA,NA,1000,4606,1611
NA,NA,1000,4737,1609
NA,NA,1000,4692,1607
NA,NA,1000,4699,1605
NA,NA,1000,4733,1600
0,0,1000,5876,1600
0,0,1000,5877,1600
NA,NA,1000,4694,1599
NA,NA,1000,5386,1599
NA,NA,1000,4764,1597
NA,NA,1000,4764,1591
NA,NA,1000,4790,1590
NA,NA,1000,4686,1583
NA,NA,1000,4741,1570
NA,NA,1000,4771,1569
NA,NA,1000,4773,1566
400,1800,1000,4774,1566
NA,NA,1000,4777,1564
NA,NA,1000,4708,1562
NA,NA,1000,4745,1555
NA,NA,1000,4783,1555
NA,NA,1000,4744,1542
NA,NA,1000,1841,1510
NA,NA,1000,3135,1458
NA,NA,1000,2028,1042
NA,NA,1000,1561,1019
NA,NA,1000,1720,1018
NA,NA,1000,1962,959
NA,NA,5000,4980,5365
NA,NA,5000,4960,5350
NA,NA,5000,4820,5235
NA,NA,5000,5075,5225
NA,NA,5000,5030,5085
NA,NA,5000,4655,5075
NA,NA,5000,4355,4640
NA,NA,5000,5380,4495
NA,NA,5000,4475,4410
NA,NA,5000,4585,4290
NA,NA,5000,4200,4270
NA,NA,5000,4820,4120
NA,NA,5000,4025,4030
NA,NA,5000,5100,3925
NA,NA,5000,4240,3915
NA,NA,5000,4235,3780
NA,NA,5000,5360,3675
0,600,5000,4600,3665
0,400,5000,4605,3665
NA,NA,5000,4195,3605
NA,NA,5000,5135,3555
500,1300,5000,5110,3535
400,800,5000,5115,3535
500,1500,5000,5150,3535
400,1700,5000,5155,3535
500,2200,5000,5160,3535
190,1500,5000,5165,3535
700,1800,5000,5110,3530
1100,3000,5000,5115,3530
400,1500,5000,5150,3530
300,1800,5000,5155,3530
400,1500,5000,5160,3530
300,2600,5000,5165,3530
300,1000,5000,5110,3525
600,1700,5000,5115,3525
220,1900,5000,5140,3525
600,2400,5000,5145,3525
500,2100,5000,5150,3525
500,2400,5000,5155,3525
400,1600,5000,5160,3525
400,2100,5000,5165,3525
1200,2200,5000,5110,3520
800,1800,5000,5115,3520
500,2800,5000,5140,3520
400,2100,5000,5145,3520
210,2000,5000,5150,3520
300,1600,5000,5155,3520
300,1700,5000,5160,3520
110,700,5000,5165,3520
200,1300,5000,5160,3515
240,1200,5000,5165,3515
200,1000,5000,5160,3510
0,150,5000,5165,3510
290,2100,5000,5150,3505
100,1800,5000,5155,3505
0,170,5000,5180,3505
0,200,5000,5190,3505
190,1500,5000,5150,3500
140,2100,5000,5155,3500
0,300,5000,5180,3500
0,170,5000,5185,3500
0,120,5000,5195,3500
400,1500,5000,5210,3465
130,1200,5000,5215,3465
300,2300,5000,5210,3460
170,800,5000,5215,3460
300,900,5000,5220,3460
0,60,5000,4740,3445
800,1100,5000,4745,3445
1300,2200,5000,4745,3440
270,2300,5000,5110,3435
170,1200,5000,5115,3435
600,3000,5000,5110,3430
190,2400,5000,5115,3430
NA,NA,5000,4100,3390
0,200,5000,5260,3240
0,190,5000,5280,3205
0,1400,5000,5280,3200
0,2500,5000,5300,3175
0,1600,5000,5305,3175
0,700,5000,5300,3165
0,1900,5000,5300,3160
0,230,5000,5305,3160
600,3000,5000,5220,3105
260,1200,5000,5225,3105
130,1000,5000,5220,3100
220,2000,5000,5225,3100
0,1700,5000,3715,3040
800,1700,5000,4325,3035
600,1400,5000,4320,3030
500,1000,5000,4325,3030
NA,NA,5000,3370,2940
NA,NA,5000,3370,2930
0,230,5000,5475,2880
800,2100,5000,4720,2875
600,1500,5000,4725,2875
1100,2100,5000,4720,2870
500,700,5000,4725,2870
NA,NA,5000,5265,2860
NA,NA,5000,5300,2860
30,270,5000,5300,2855
80,400,5000,5305,2855
40,190,5000,5310,2855
0,500,5000,5280,2850
0,80,5000,5285,2850
80,1600,5000,5300,2850
260,2300,5000,5305,2850
90,500,5000,5310,2850
0,260,5000,5315,2850
400,1100,5000,4680,2845
600,1400,5000,4685,2845
220,1100,5000,4680,2840
300,1500,5000,4685,2840
210,1500,5000,4600,2835
500,1300,5000,4605,2835
400,1600,5000,4610,2835
400,1200,5000,4615,2835
150,1200,5000,4620,2835
400,900,5000,4625,2835
400,1100,5000,4640,2835
400,1600,5000,4645,2835
700,1900,5000,4650,2835
700,1300,5000,4655,2835
180,500,5000,4670,2835
290,600,5000,4675,2835
250,800,5000,4680,2835
500,1300,5000,4685,2835
230,1000,5000,4690,2835
260,900,5000,4695,2835
250,900,5000,4600,2830
400,1400,5000,4605,2830
400,1600,5000,4610,2830
800,1800,5000,4615,2830
700,1200,5000,4620,2830
600,1200,5000,4625,2830
300,1200,5000,4640,2830
300,1500,5000,4645,2830
400,1100,5000,4650,2830
280,1600,5000,4655,2830
600,800,5000,4670,2830
300,600,5000,4675,2830
300,900,5000,4680,2830
280,1400,5000,4685,2830
600,1100,5000,4690,2830
120,400,5000,4695,2830
400,1200,5000,4600,2825
600,1800,5000,4605,2825
300,1300,5000,4610,2825
500,1300,5000,4615,2825
800,1700,5000,4620,2825
600,1300,5000,4625,2825
400,1000,5000,4630,2825
700,1400,5000,4635,2825
400,1500,5000,4650,2825
500,1300,5000,4655,2825
400,900,5000,4660,2825
300,800,5000,4665,2825
400,900,5000,4670,2825
400,800,5000,4675,2825
270,800,5000,4680,2825
270,600,5000,4685,2825
1500,2500,5000,4810,2825
900,3000,5000,4815,2825
400,1100,5000,4600,2820
220,1100,5000,4605,2820
250,1100,5000,4610,2820
250,1400,5000,4615,2820
500,1600,5000,4620,2820
300,1700,5000,4625,2820
400,1500,5000,4630,2820
500,900,5000,4635,2820
220,1400,5000,4650,2820
300,1400,5000,4655,2820
300,1000,5000,4660,2820
250,700,5000,4665,2820
400,1200,5000,4670,2820
300,1200,5000,4675,2820
220,500,5000,4680,2820
NA,NA,5000,4685,2820
NA,NA,5000,4810,2820
NA,NA,5000,4815,2820
140,1300,5000,4600,2815
280,1500,5000,4605,2815
600,1700,5000,4630,2815
210,900,5000,4635,2815
400,1700,5000,4640,2815
240,1300,5000,4645,2815
180,1000,5000,4650,2815
210,1400,5000,4655,2815
500,1100,5000,4660,2815
260,1400,5000,4665,2815
190,900,5000,4670,2815
300,900,5000,4675,2815
150,1500,5000,4600,2810
160,1900,5000,4605,2810
400,1200,5000,4630,2810
220,900,5000,4635,2810
200,1200,5000,4640,2810
290,1100,5000,4645,2810
110,1700,5000,4650,2810
280,1400,5000,4655,2810
300,1200,5000,4660,2810
400,1400,5000,4665,2810
200,900,5000,4670,2810
240,1200,5000,4675,2810
220,1200,5000,4590,2785
240,1600,5000,4595,2785
210,1000,5000,4740,2785
240,1200,5000,4745,2785
500,1300,5000,4750,2785
300,600,5000,4755,2785
1400,1700,5000,4830,2785
400,1600,5000,4590,2780
280,2200,5000,4595,2780
400,600,5000,4740,2780
220,600,5000,4745,2780
400,700,5000,4750,2780
300,700,5000,4755,2780
2500,4000,5000,4830,2780
400,1300,5000,4670,2775
400,1200,5000,4675,2775
700,1600,5000,4680,2775
500,1200,5000,4685,2775
700,1500,5000,4690,2775
900,1600,5000,4695,2775
NA,NA,5000,4820,2775
2700,6000,5000,4835,2775
400,1100,5000,4560,2770
400,1200,5000,4565,2770
700,1600,5000,4670,2770
400,1000,5000,4675,2770
900,1800,5000,4680,2770
600,1500,5000,4685,2770
600,900,5000,4690,2770
600,900,5000,4695,2770
170,700,5000,4830,2770
1700,4000,5000,4835,2770
400,900,5000,4550,2765
600,1400,5000,4555,2765
800,1500,5000,4560,2765
500,1900,5000,4565,2765
600,1100,5000,4660,2765
900,1500,5000,4665,2765
1800,2000,5000,4800,2765
600,1400,5000,4805,2765
600,1500,5000,4550,2760
700,1600,5000,4555,2760
600,1300,5000,4560,2760
600,1300,5000,4565,2760
300,800,5000,4660,2760
170,290,5000,4665,2760
900,2100,5000,4800,2760
1400,2600,5000,4805,2760
300,1000,5000,4520,2755
240,1200,5000,4525,2755
1000,1900,5000,4550,2755
600,1400,5000,4555,2755
500,700,5000,4560,2755
500,800,5000,4565,2755
230,700,5000,4570,2755
170,800,5000,4575,2755
400,1100,5000,4520,2750
300,1600,5000,4525,2750
600,1200,5000,4550,2750
800,1800,5000,4555,2750
900,1300,5000,4560,2750
700,1400,5000,4565,2750
170,700,5000,4570,2750
300,700,5000,4575,2750
500,1900,5000,4330,2745
500,1700,5000,4335,2745
600,800,5000,4450,2745
900,1200,5000,4455,2745
500,1300,5000,4460,2745
400,1600,5000,4465,2745
500,800,5000,4560,2745
400,500,5000,4565,2745
800,1600,5000,4330,2740
800,1900,5000,4335,2740
1100,1800,5000,4450,2740
800,1300,5000,4455,2740
700,1400,5000,4460,2740
400,2000,5000,4465,2740
300,400,5000,4560,2740
300,300,5000,4565,2740
800,1400,5000,4360,2735
600,1800,5000,4365,2735
270,800,5000,4550,2735
1000,1500,5000,4555,2735
500,600,5000,4560,2735
140,180,5000,4565,2735
NA,NA,5000,4575,2735
